OPO code,Center code,Begin date,End date,Local Transplants,Regional Transplants,KI transplants procured by this OPO for the center,PA transplants procured by this OPO for the center,LI transplants procured by this OPO for the center,IN transplants procured by this OPO for the center,HR transplants procured by this OPO for the center,LU transplants procured by this OPO for the center
OHLP,ARUA-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXGC,ARUA-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
AZOB,AZCH-TX1,07/01/2017,06/30/2018,1,1,14,0,3,0,3,0
CADN,AZCH-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,1,0
CAOP,AZCH-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,6,0
CASD,AZCH-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
NVLV,AZCH-TX1,07/01/2017,06/30/2018,0,1,1,0,2,0,0,0
ORUO,AZCH-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
TXGC,AZCH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
UTOP,AZCH-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,1,0
AZOB,AZGS-TX1,07/01/2017,06/30/2018,1,1,107,3,52,0,0,0
CADN,AZGS-TX1,07/01/2017,06/30/2018,0,1,0,0,14,0,0,0
CAGS,AZGS-TX1,07/01/2017,06/30/2018,0,1,1,0,5,0,0,0
CAOP,AZGS-TX1,07/01/2017,06/30/2018,0,1,4,0,11,0,0,0
CASD,AZGS-TX1,07/01/2017,06/30/2018,0,1,2,0,7,0,0,0
FLMP,AZGS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLWC,AZGS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
INOP,AZGS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
KYDA,AZGS-TX1,07/01/2017,06/30/2018,0,0,1,0,1,0,0,0
NJTO,AZGS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NMOP,AZGS-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
NVLV,AZGS-TX1,07/01/2017,06/30/2018,0,1,3,1,11,0,0,0
PADV,AZGS-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
SCOP,AZGS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXGC,AZGS-TX1,07/01/2017,06/30/2018,0,0,1,0,1,0,0,0
TXSA,AZGS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TXSB,AZGS-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
UTOP,AZGS-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,0,0
WALC,AZGS-TX1,07/01/2017,06/30/2018,0,0,3,0,1,0,0,0
ALOB,AZMC-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
AZOB,AZMC-TX1,07/01/2017,06/30/2018,1,1,155,16,32,0,42,0
CADN,AZMC-TX1,07/01/2017,06/30/2018,0,1,7,0,13,0,1,0
CAGS,AZMC-TX1,07/01/2017,06/30/2018,0,1,6,5,3,0,0,0
CAOP,AZMC-TX1,07/01/2017,06/30/2018,0,1,20,0,15,0,1,0
CASD,AZMC-TX1,07/01/2017,06/30/2018,0,1,7,1,7,0,0,0
CORS,AZMC-TX1,07/01/2017,06/30/2018,0,0,3,0,2,0,2,0
FLFH,AZMC-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
FLUF,AZMC-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
