OPO code,Center code,Begin date,End date,Local Transplants,Regional Transplants,KI transplants procured by this OPO for the center,PA transplants procured by this OPO for the center,LI transplants procured by this OPO for the center,IN transplants procured by this OPO for the center,HR transplants procured by this OPO for the center,LU transplants procured by this OPO for the center
PADV,FLUF-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
SCOP,FLUF-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,6
TNDS,FLUF-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,5
TXSA,FLUF-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
VATB,FLUF-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
ALOB,GAEH-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,3,0
AROR,GAEH-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,0,0
FLFH,GAEH-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,0,0
FLMP,GAEH-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,0,0
FLUF,GAEH-TX1,07/01/2017,06/30/2018,0,1,0,0,6,0,1,0
FLWC,GAEH-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,2,0
GALL,GAEH-TX1,07/01/2017,06/30/2018,1,1,10,0,14,0,1,0
KYDA,GAEH-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
LAOP,GAEH-TX1,07/01/2017,06/30/2018,0,1,2,0,3,0,0,0
MSOP,GAEH-TX1,07/01/2017,06/30/2018,0,1,0,0,3,0,0,0
NCCM,GAEH-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,1,0
PADV,GAEH-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
TNDS,GAEH-TX1,07/01/2017,06/30/2018,0,0,0,0,2,0,1,0
TXGC,GAEH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
TXSB,GAEH-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
ALOB,GAEM-TX1,07/01/2017,06/30/2018,0,1,5,0,5,0,0,0
AROR,GAEM-TX1,07/01/2017,06/30/2018,0,1,0,0,5,0,0,0
CADN,GAEM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
DCTC,GAEM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLFH,GAEM-TX1,07/01/2017,06/30/2018,0,1,11,2,3,0,0,0
FLMP,GAEM-TX1,07/01/2017,06/30/2018,0,1,3,0,3,0,0,2
FLUF,GAEM-TX1,07/01/2017,06/30/2018,0,1,7,1,4,0,1,2
FLWC,GAEM-TX1,07/01/2017,06/30/2018,0,1,11,0,8,0,1,3
GALL,GAEM-TX1,07/01/2017,06/30/2018,1,1,111,10,90,0,30,18
HIOP,GAEM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ILIP,GAEM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
INOP,GAEM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
LAOP,GAEM-TX1,07/01/2017,06/30/2018,0,1,7,0,6,0,2,0
MAOB,GAEM-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
MIOP,GAEM-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
MOMA,GAEM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,1
MSOP,GAEM-TX1,07/01/2017,06/30/2018,0,1,3,1,3,0,2,0
MWOB,GAEM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NJTO,GAEM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
OKOP,GAEM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
PADV,GAEM-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
PATF,GAEM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
PRLL,GAEM-TX1,07/01/2017,06/30/2018,0,1,4,0,3,0,0,0
SCOP,GAEM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
TNDS,GAEM-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,1,0
TXGC,GAEM-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
TXSB,GAEM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
UTOP,GAEM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
WALC,GAEM-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
FLFH,GAMC-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
GALL,GAMC-TX1,07/01/2017,06/30/2018,1,1,48,2,0,0,0,0
LAOP,GAMC-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
NCCM,GAMC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
SCOP,GAMC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
WIDN,GAMC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ALOB,GAPH-TX1,07/01/2017,06/30/2018,0,1,2,0,7,0,2,0
AROR,GAPH-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
CADN,GAPH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CORS,GAPH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLFH,GAPH-TX1,07/01/2017,06/30/2018,0,1,6,1,4,0,0,0
FLMP,GAPH-TX1,07/01/2017,06/30/2018,0,1,5,0,6,0,0,0
FLUF,GAPH-TX1,07/01/2017,06/30/2018,0,1,4,2,5,0,1,0
FLWC,GAPH-TX1,07/01/2017,06/30/2018,0,1,1,0,8,0,0,0
GALL,GAPH-TX1,07/01/2017,06/30/2018,1,1,85,6,77,0,8,0
ILIP,GAPH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
INOP,GAPH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
LAOP,GAPH-TX1,07/01/2017,06/30/2018,0,1,1,0,7,0,1,0
MAOB,GAPH-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
MDPC,GAPH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MSOP,GAPH-TX1,07/01/2017,06/30/2018,0,1,2,1,4,0,0,0
NYAP,GAPH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NYRT,GAPH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ORUO,GAPH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
PADV,GAPH-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
PATF,GAPH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
PRLL,GAPH-TX1,07/01/2017,06/30/2018,0,1,4,0,3,0,0,0
TNDS,GAPH-TX1,07/01/2017,06/30/2018,0,0,3,1,0,0,0,0
WIUW,GAPH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
AZOB,HIQM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CAOP,HIQM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
HIOP,HIQM-TX1,07/01/2017,06/30/2018,1,1,37,0,15,0,0,0
CORS,IAIM-TX1,07/01/2017,06/30/2018,0,1,7,0,0,0,0,0
IAOP,IAIM-TX1,07/01/2017,06/30/2018,1,1,7,0,0,0,0,0
ILIP,IAIM-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
INOP,IAIM-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
MNOP,IAIM-TX1,07/01/2017,06/30/2018,0,0,4,0,0,0,0,0
MOMA,IAIM-TX1,07/01/2017,06/30/2018,0,1,5,0,0,0,0,0
MWOB,IAIM-TX1,07/01/2017,06/30/2018,0,1,23,0,0,0,0,0
NEOR,IAIM-TX1,07/01/2017,06/30/2018,0,1,5,0,0,0,0,0
TXSB,IAIM-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
CADN,IAIV-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CORS,IAIV-TX1,07/01/2017,06/30/2018,0,1,5,0,0,0,0,0
FLUF,IAIV-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
IAOP,IAIV-TX1,07/01/2017,06/30/2018,1,1,46,0,25,0,13,5
INOP,IAIV-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,1,0
LAOP,IAIV-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MNOP,IAIV-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,2
MOMA,IAIV-TX1,07/01/2017,06/30/2018,0,1,7,2,1,0,1,2
MWOB,IAIV-TX1,07/01/2017,06/30/2018,0,1,11,3,5,0,0,10
NEOR,IAIV-TX1,07/01/2017,06/30/2018,0,1,1,1,0,0,0,2
NYAP,IAIV-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
OHLB,IAIV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OHOV,IAIV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OKOP,IAIV-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
PADV,IAIV-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TNDS,IAIV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,4
TXSB,IAIV-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
WIDN,IAIV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
WIUW,IAIV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
CORS,IAMH-TX1,07/01/2017,06/30/2018,0,1,2,0,0,0,0,0
FLFH,IAMH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
IAOP,IAMH-TX1,07/01/2017,06/30/2018,1,1,17,1,0,0,0,0
ILIP,IAMH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MOMA,IAMH-TX1,07/01/2017,06/30/2018,0,1,2,1,0,0,0,0
MWOB,IAMH-TX1,07/01/2017,06/30/2018,0,1,2,0,0,0,0,0
NCNC,IAMH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NEOR,IAMH-TX1,07/01/2017,06/30/2018,0,1,3,0,0,0,0,0
CORS,IAVA-TX1,07/01/2017,06/30/2018,0,1,2,0,0,0,0,0
IAOP,IAVA-TX1,07/01/2017,06/30/2018,1,1,14,0,0,0,0,0
INOP,IAVA-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
MOMA,IAVA-TX1,07/01/2017,06/30/2018,0,1,3,0,0,0,0,0
MWOB,IAVA-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
ALOB,ILCH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,1
ILIP,ILCH-TX1,07/01/2017,06/30/2018,1,1,17,0,0,0,21,4
INOP,ILCH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
MOMA,ILCH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,2
MWOB,ILCH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
NCCM,ILCH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
OHLC,ILCH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OHLP,ILCH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
TNDS,ILCH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,2,0
TNMS,ILCH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
WIUW,ILCH-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,1,0
AROR,ILCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
ILIP,ILCM-TX1,07/01/2017,06/30/2018,1,1,13,0,11,0,1,0
INOP,ILCM-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
MIOP,ILCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,4,0
MNOP,ILCM-TX1,07/01/2017,06/30/2018,0,1,0,0,1,1,4,0
MWOB,ILCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,3,0
NCNC,ILCM-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,1,0
NEOR,ILCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OKOP,ILCM-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
PATF,ILCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
TNDS,ILCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
TNMS,ILCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
VATB,ILCM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
WIDN,ILCM-TX1,07/01/2017,06/30/2018,0,1,0,0,3,1,0,0
AROR,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
CAOP,ILLU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CORS,ILLU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLFH,ILLU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
GALL,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
IAOP,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,4
ILIP,ILLU-TX1,07/01/2017,06/30/2018,1,1,73,2,59,0,15,27
INOP,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
KYDA,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
MAOB,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
MIOP,ILLU-TX1,07/01/2017,06/30/2018,0,0,4,1,0,0,0,4
MNOP,ILLU-TX1,07/01/2017,06/30/2018,0,1,3,0,1,0,0,1
MOMA,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,3
MWOB,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,3,2
NEOR,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OHLB,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,1
OHLC,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
OHLP,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OHOV,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
TNDS,ILLU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,2,2
TNMS,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
TXGC,ILLU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,1,0
TXSA,ILLU-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,1
TXSB,ILLU-TX1,07/01/2017,06/30/2018,0,0,2,1,0,0,1,0
WALC,ILLU-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
WIDN,ILLU-TX1,07/01/2017,06/30/2018,0,1,5,0,0,0,1,3
WIUW,ILLU-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,1
CAGS,ILMM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CAOP,ILMM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ILIP,ILMM-TX1,07/01/2017,06/30/2018,1,1,17,0,0,0,0,0
WIDN,ILMM-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
AROR,ILNM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
AZOB,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CADN,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CASD,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CORS,ILNM-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
DCTC,ILNM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
GALL,ILNM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
IAOP,ILNM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
ILIP,ILNM-TX1,07/01/2017,06/30/2018,1,1,105,16,87,0,24,12
INOP,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,2,0
KYDA,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,2,4
MAOB,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MIOP,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,6
MNOP,ILNM-TX1,07/01/2017,06/30/2018,0,1,6,0,6,0,1,1
MOMA,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,1,2
MWOB,ILNM-TX1,07/01/2017,06/30/2018,0,0,2,1,0,0,4,0
NCNC,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NYRT,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
OHLC,ILNM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OHLP,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
OHOV,ILNM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OKOP,ILNM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
PADV,ILNM-TX1,07/01/2017,06/30/2018,0,0,3,0,0,0,0,0
TNDS,ILNM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
TNMS,ILNM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,2
TXSA,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
UTOP,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
VATB,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,1,0,0,0,0
WALC,ILNM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
WIDN,ILNM-TX1,07/01/2017,06/30/2018,0,1,7,1,5,0,0,0
WIUW,ILNM-TX1,07/01/2017,06/30/2018,0,1,8,1,1,0,0,4
ALOB,ILPL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CAGS,ILPL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
DCTC,ILPL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ILIP,ILPL-TX1,07/01/2017,06/30/2018,1,1,65,9,21,0,0,0
MIOP,ILPL-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
MNOP,ILPL-TX1,07/01/2017,06/30/2018,0,1,0,0,1,0,0,0
MOMA,ILPL-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
WIUW,ILPL-TX1,07/01/2017,06/30/2018,0,1,1,0,1,0,0,0
CADN,ILSF-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ILIP,ILSF-TX1,07/01/2017,06/30/2018,1,1,26,4,0,0,0,0
MWOB,ILSF-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
OHLB,ILSF-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ORUO,ILSF-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TNDS,ILSF-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ALOB,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,1
AROR,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
CORS,ILUC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
GALL,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,0
IAOP,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,1,0
ILIP,ILUC-TX1,07/01/2017,06/30/2018,1,1,43,3,13,0,15,22
INOP,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
KYDA,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,2,0
MIOP,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
MNOP,ILUC-TX1,07/01/2017,06/30/2018,0,1,2,0,6,0,2,0
MOMA,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,8
MWOB,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,2,3
NJTO,ILUC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NMOP,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OHLC,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
OHOV,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
PATF,ILUC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TNDS,ILUC-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,1,0
TNMS,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
TXSB,ILUC-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,4
WIDN,ILUC-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,1,0
WIUW,ILUC-TX1,07/01/2017,06/30/2018,0,1,3,1,4,0,0,2
CADN,ILUI-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ILIP,ILUI-TX1,07/01/2017,06/30/2018,1,1,74,11,31,2,0,0
LAOP,ILUI-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MNOP,ILUI-TX1,07/01/2017,06/30/2018,0,1,2,0,5,0,0,0
MWOB,ILUI-TX1,07/01/2017,06/30/2018,0,0,1,1,0,0,0,0
ORUO,ILUI-TX1,07/01/2017,06/30/2018,0,0,0,1,0,0,0,0
PADV,ILUI-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
PATF,ILUI-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
TNDS,ILUI-TX1,07/01/2017,06/30/2018,0,0,1,1,0,0,0,0
WIDN,ILUI-TX1,07/01/2017,06/30/2018,0,1,1,1,1,0,0,0
WIUW,ILUI-TX1,07/01/2017,06/30/2018,0,1,1,0,1,0,0,0
AROR,INIM-TX1,07/01/2017,06/30/2018,0,0,0,1,1,1,0,0
AZOB,INIM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CAOP,INIM-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
CORS,INIM-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
FLFH,INIM-TX1,07/01/2017,06/30/2018,0,0,0,1,0,1,1,0
ILIP,INIM-TX1,07/01/2017,06/30/2018,0,0,2,0,7,0,0,10
INOP,INIM-TX1,07/01/2017,06/30/2018,1,1,109,22,95,3,9,32
KYDA,INIM-TX1,07/01/2017,06/30/2018,0,0,1,1,1,1,1,4
LAOP,INIM-TX1,07/01/2017,06/30/2018,0,0,0,1,1,0,0,0
MIOP,INIM-TX1,07/01/2017,06/30/2018,0,1,9,4,22,0,0,7
MNOP,INIM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
MOMA,INIM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,1,0,10
MWOB,INIM-TX1,07/01/2017,06/30/2018,0,0,0,0,3,0,0,14
NCCM,INIM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,1
NCNC,INIM-TX1,07/01/2017,06/30/2018,0,0,0,1,1,1,0,0
NJTO,INIM-TX1,07/01/2017,06/30/2018,0,0,1,0,1,0,0,0
NVLV,INIM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
NYRT,INIM-TX1,07/01/2017,06/30/2018,0,0,1,0,1,0,0,2
OHLB,INIM-TX1,07/01/2017,06/30/2018,0,1,0,0,9,0,0,0
OHLC,INIM-TX1,07/01/2017,06/30/2018,0,1,2,1,4,0,0,1
OHLP,INIM-TX1,07/01/2017,06/30/2018,0,1,1,1,2,0,0,0
OHOV,INIM-TX1,07/01/2017,06/30/2018,0,1,0,0,2,0,0,2
OKOP,INIM-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
PADV,INIM-TX1,07/01/2017,06/30/2018,0,0,2,0,1,0,0,0
PATF,INIM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,2
SCOP,INIM-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,0,2
TNDS,INIM-TX1,07/01/2017,06/30/2018,0,0,1,0,2,0,0,10
TNMS,INIM-TX1,07/01/2017,06/30/2018,0,0,1,1,0,0,1,0
TXGC,INIM-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,0,0
TXSB,INIM-TX1,07/01/2017,06/30/2018,0,0,0,0,1,0,1,0
WIDN,INIM-TX1,07/01/2017,06/30/2018,0,0,1,0,1,0,0,4
WIUW,INIM-TX1,07/01/2017,06/30/2018,0,0,1,0,0,1,1,2
FLFH,INLH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
FLWC,INLH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
ILIP,INLH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
INOP,INLH-TX1,07/01/2017,06/30/2018,1,1,9,0,0,0,3,0
MIOP,INLH-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
MOMA,INLH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
MWOB,INLH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
TXGC,INLH-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
WIUW,INLH-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
ALOB,INSV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
FLFH,INSV-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
GALL,INSV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
IAOP,INSV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
INOP,INSV-TX1,07/01/2017,06/30/2018,1,1,26,1,0,0,23,0
KYDA,INSV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
MIOP,INSV-TX1,07/01/2017,06/30/2018,0,1,1,0,0,0,0,0
MOMA,INSV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
MSOP,INSV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
MWOB,INSV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
NEOR,INSV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
NYFL,INSV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
OHLC,INSV-TX1,07/01/2017,06/30/2018,0,1,0,0,0,0,1,0
OHLP,INSV-TX1,07/01/2017,06/30/2018,0,1,4,0,0,0,2,0
OHOV,INSV-TX1,07/01/2017,06/30/2018,0,1,2,0,0,0,0,0
TNDS,INSV-TX1,07/01/2017,06/30/2018,0,0,0,0,0,0,1,0
TXGC,INSV-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
AZOB,KSUK-TX1,07/01/2017,06/30/2018,0,0,1,0,0,0,0,0
CORS,KSUK-TX1,07/01/2017,06/30/2018,0,1,3,0,6,0,0,0
ILIP,KSUK-TX1,07/01/2017,06/30/2018,0,0,2,0,0,0,0,0
MOMA,KSUK-TX1,07/01/2017,06/30/2018,0,1,2,0,2,0,0,0
