ALOB010139NMB,0
CAOP050159NMB,1
FLMP100125NMB,2
WALC500003NMB,3
DCTC490101NMB,4
TNDS440150NMB,5
TXGC450222NMB,6
INOP150023NMB,7
MOMA260005NMB,8
CAOP050158NMB,9
CADN050007NMB,10
PADV080006NMB,11
AZOB030088NMB,12
NYWN330073NMB,13
CAGS050127NMB,14
TXSA450237N08,15
CAOP050102NMB,16
TXSA450237N04,17
TXSA450237N06,18
PATF390055NMB,19
FLMP100022TX1,20
AZOB030064TX1,21
DCTC090004TX1,22
MWOB260011NMB,23
CAOP050078NMB,176
MIOP230066NMB,25
WIUW520097NMB,26
NCNC340127NMB,27
DCTC210057TX1,28
LAOP190053NMB,29
CADN050121NMB,30
OHLC360052NMB,236
MIOP230089NMB,32
VATB490084NMB,33
TNDS440091NMB,34
NEOR280013NMB,35
AZOB030120NMB,36
OHLC360187NMB,37
VATB49010FTX1,38
ORUO500002NMB,39
ORUO380090NMB,1403
CAOP050693NMB,40
CADN050006NMB,41
CAOP050549NMB,42
MIOP230130TX1,43
INOP150053NMB,45
MAOB220086TX1,46
CAOP050262TX1,47
OHOV363300TX1,48
WIUW520087NMB,49
FLFH100014TX1,50
AZOB030014NMB,52
WALC50005FNMB,53
TXSB450723NMB,54
MNOP240100NMB,55
MAOB220029NMB,56
NYFL330164NMB,57
CAGS050494NMB,58
ILIP140150TX1,59
PATF390009NMB,60
FLFH100302N01,61
GALL110172NMB,62
CADN050457NMB,63
PADV390329NMB,64
FLWC100304NMB,65
MAOB220033NMB,66
CADN050458NMB,67
GALL110124NMB,68
PATF390079NMB,69
NYAP330057NMB,70
IAOP160069NMB,71
FLWC100238NMB,72
LAOP190167NMB,73
PADV390270NMB,74
IAOP160067NMB,2232
INOP150074NMB,76
UTOP460055NMB,77
NYRT330350TX1,78
TXSA450029NMB,79
MSOP250032NMB,2233
DCTC090003TX1,2588
GALL110011NMB,82
DCTC490122NMB,83
TXGC450630NMB,84
OHLB360025NMB,85
TXSB450462NMB,86
CADN050008NMB,87
CADN050557NMB,88
TXSA450176NMB,89
KYDA180141NMB,90
WALC500054TX1,91
HIOP120019NMB,92
INOP150056TX1,93
OKOP370078NMB,94
TNDS440103NMB,95
TXGC450779NMB,96
NJTO310002TX1,98
TNDS440178NMB,99
TXSB450096NMB,100
CAOP050575NMB,101
PADV390111TX1,102
DCTC090011TX1,103
WALC500051NMB,104
PRLL400115NMB,105
TXSA450028NMB,106
INOP150112NMB,107
ILIP140213NMB,108
DCTC490045NMB,109
NYWN330053NMB,110
WISE520009NMB,1313
PADV310081NMB,112
PRLL400061NMB,113
CAOP050625TX1,114
WALC020001NMB,115
NYRT330152NMB,116
TXSB723303NMB,117
MNOP350003NMB,119
MOMA040020NMB,120
CADN050488NMB,121
FLUF100122NMB,122
TXSB450788N01,123
SCOP420080NMB,124
DCTC210018NMB,125
MAOB220035N01,126
ILIP140174NMB,127
LAOP190041TX1,128
MNOP350011TX1,129
NYAP330276NMB,130
CAGS050599TX1,131
OHLP360152N01,132
LAOP190102NMB,133
TXSB450558NMB,1762
NMOP320030NMB,1319
FLWC100243NMB,137
ORUO380003NMB,138
PADV390045NMB,139
PATF510022TX1,140
VATB490032TX1,141
MAOB22VA03NMB,142
PADV390058NMB,143
CAOP050684NMB,144
MDPC210049NMB,145
KYDA150044NMB,146
OHLC363306NMB,147
MWOB260190NMB,2244
MOMA040118NMB,149
NYRT33035JNMB,150
NYRT330331NMB,151
ALOB010033TX1,152
NCCM340113TX1,153
SCOP420070NMB,154
MIOP230165TX1,155
OKOP370097NMB,156
INOP150115NMB,157
INOP150017TX1,158
ILIP140040NMB,159
NJTO310063NMB,160
TXSA670043NMB,161
ILIP140012NMB,162
